Date,PHS
Feb-59,256.7
May-59,367.3
Aug-59,350.8
Nov-59,259.2
Feb-60,213.4
May-60,305.6
Aug-60,274.4
Nov-60,201.2
Feb-61,183.1
May-61,284.6
Aug-61,284.2
Nov-61,222.4
Feb-62,187.5
May-62,305.1
Aug-62,272.3
Nov-62,226.4
Feb-63,178.2
May-63,324.3
Aug-63,288.9
Nov-63,221
Feb-64,202.6
May-64,294
Aug-64,261.7
Nov-64,212.1
Feb-65,181.5
May-65,296.7
Aug-65,266.2
Nov-65,219.4
Feb-66,180.2
May-66,258.8
Aug-66,197.9
Nov-66,141.7
Feb-67,147.1
May-67,254.7
Aug-67,244.2
Nov-67,197.8
Feb-68,179.9
May-68,266.2
Aug-68,249
Nov-68,204.2
Feb-69,171.1
May-69,259
Aug-69,214.5
Nov-69,165.9
Feb-70,136.7
May-70,231.6
Aug-70,228.8
Nov-70,215.8
Feb-71,204.8
May-71,348.5
Aug-71,321.5
Nov-71,276.2
Feb-72,263.9
May-72,386.9
Aug-72,370.9
Nov-72,287.6
Feb-73,255.8
May-73,366.9
Aug-73,306
Nov-73,203.3
Feb-74,177.8
May-74,297.8
Aug-74,243.9
Nov-74,168.4
Feb-75,142.3
May-75,260.9
Aug-75,268
Nov-75,221
Feb-76,219
May-76,339.6
Aug-76,333.6
Nov-76,270.1
Feb-77,268.7
May-77,440.1
Aug-77,410.3
Nov-77,331.8
Feb-78,257.5
May-78,449.1
Aug-78,403.9
Nov-78,322.9
Feb-79,226.6
May-79,386.9
Aug-79,342.9
Nov-79,237.7
Feb-80,150.9
May-80,203.3
Aug-80,272.6
Nov-80,225.3
Feb-81,166.5
May-81,229.9
Aug-81,184.8
Nov-81,124.1
Feb-82,113.6
May-82,178.2
Aug-82,186.7
Nov-82,184.1
Feb-83,202.9
May-83,322.3
Aug-83,307.5
Nov-83,234.8
Feb-84,236.5
May-84,332.6
Aug-84,280.3
Nov-84,234.7
Feb-85,215.3
May-85,317.9
Aug-85,295
Nov-85,244.1
Feb-86,234.1
May-86,369.4
Aug-86,325.4
Nov-86,250.6
Feb-87,241.4
May-87,346.5
Aug-87,321.3
Nov-87,237.1
Feb-88,219.7
May-88,323.7
Aug-88,293.4
Nov-88,244.6
Feb-89,212.7
May-89,302.1
Aug-89,272.1
Nov-89,216.5
Feb-90,217
May-90,271.3
Aug-90,233
Nov-90,173.6
Feb-91,146.7
May-91,254.1
Aug-91,239.8
Nov-91,199.8
Feb-92,218.5
May-92,296.4
Aug-92,276.4
Nov-92,238.8
Feb-93,213.2
May-93,323.7
Aug-93,309.3
Nov-93,279.4
Feb-94,252.6
May-94,354.2
Aug-94,325.7
Nov-94,265.9
Feb-95,214.2
May-95,296.7
Aug-95,308.2
Nov-95,257.2
Feb-96,240
May-96,344.5
Aug-96,324
Nov-96,252.5
Feb-97,237.8
May-97,324.5
Aug-97,314.5
Nov-97,256.8
Feb-98,258.4
May-98,360.4
Aug-98,348
Nov-98,304.6
Feb-99,287.2
May-99,366.8
Aug-99,347.2
Nov-99,301.3
Feb-00,278.2
May-00,357
Aug-00,320.5
Nov-00,275.2
Feb-01,273.8
May-01,373.8
Aug-01,341.1
Nov-01,284.5
Feb-02,293.3
May-02,386
Aug-02,360.6
Nov-02,318.6
Feb-03,304.1
May-03,406.3
Aug-03,412
Nov-03,376.7
Feb-04,345.1
May-04,455.7
Aug-04,439.9
Nov-04,369.8
Feb-05,368.8
May-05,484.7
Aug-05,470.6
Nov-05,391.7
Feb-06,382.3
May-06,432.7
Aug-06,372.3
Nov-06,278
Feb-07,259.6
May-07,332.9
Aug-07,265.3
Nov-07,188.3
Feb-08,161.9
May-08,193.9
Aug-08,163
Nov-08,103.2
Feb-09,78.3
May-09,123.7
Aug-09,138.3
Nov-09,104.7
Feb-10,114.3
May-10,142.2
Aug-10,119
Nov-10,95.6
Feb-11,89.5
May-11,123.4
Aug-11,117.7
Nov-11,99.9
Feb-12,105.5
May-12,151.1
Aug-12,150.1
Nov-12,128.6
Feb-13,136.1
May-13,174.1
Aug-13,164.9
Nov-13,142.6
Feb-14,133.8
May-14,182.6
Aug-14,177.6
Nov-14,153.8
Feb-15,139.9
May-15,205.4
Aug-15,203.2
Nov-15,166.1
Feb-16,170.4
May-16,217.7
Aug-16,206.5
Nov-16,186.9
Feb-17,181.4
