Date,NCS,DPIPC,UR,PR,UMICS
2-Feb,152641,27840,5.7,4.75,93.13
2-May,166036,28134,5.83,4.75,94.1
2-Aug,175863,28168,5.73,4.75,87.27
2-Nov,151219,28363,5.87,4.45,83.83
3-Feb,152843,28584,5.87,4.25,79.97
3-May,173360,28958,6.13,4.24,89.27
3-Aug,178086,29539,6.13,4,89.3
3-Nov,154916,29708,5.83,4,91.97
4-Feb,159086,30094,5.7,4,98
4-May,172174,30537,5.6,4,93.33
4-Aug,178077,30800,5.43,4.42,95.6
4-Nov,161216,31353,5.43,4.94,93.87
5-Feb,160070,31145,5.3,5.44,94.07
5-May,183594,31533,5.1,5.91,90.2
5-Aug,184878,31961,4.97,6.43,87.5
5-Nov,153405,32396,4.97,6.97,82.43
6-Feb,164864,33217,4.73,7.43,88.93
6-May,178363,33448,4.63,7.9,83.8
6-Aug,181615,33696,4.63,8.25,84.03
6-Nov,160780,33991,4.43,8.25,92.47
7-Feb,167528,34457,4.5,8.25,92.2
7-May,180006,34720,4.5,8.25,86.9
7-Aug,179216,34918,4.67,8.18,85.73
7-Nov,160957,35209,4.8,7.52,77.5
8-Feb,158369,35688,5,6.21,72.9
8-May,158761,36742,5.33,5.08,59.6
8-Aug,146003,36175,6,5,64.83
8-Nov,112460,35801,6.87,4.06,57.67
9-Feb,111819,35459,8.27,3.25,58.27
9-May,122950,35798,9.3,3.25,68.2
9-Aug,132705,35546,9.63,3.25,68.4
9-Nov,119091,35658,9.93,3.25,70.17
10-Feb,124117,35744,9.83,3.25,73.87
10-May,142278,36183,9.63,3.25,73.93
10-Aug,144165,36397,9.47,3.25,68.3
10-Nov,138913,36770,9.5,3.25,71.27
11-Feb,146009,37436,9.03,3.25,73.07
11-May,154335,37692,9.07,3.25,71.87
11-Aug,154418,38017,9,3.25,59.67
11-Nov,154026,38097,8.63,3.25,64.8
12-Feb,160743,38880,8.27,3.25,75.5
12-May,172000,39234,8.2,3.25,76.3
12-Aug,172584,39266,8.03,3.25,74.97
12-Nov,167223,40436,7.8,3.25,79.4
13-Feb,171221,38828,7.73,3.25,76.67
13-May,189832,39010,7.53,3.25,81.67
13-Aug,192517,39306,7.27,3.25,81.57
13-Nov,181804,39481,6.93,3.25,76.93
14-Feb,179902,40049,6.67,3.25,80.93
14-May,203914,40693,6.2,3.25,82.83
14-Aug,205791,41128,6.1,3.25,82.97
14-Nov,195535,41478,5.7,3.25,89.77
15-Feb,194135,41447,5.53,3.25,95.5
15-May,216311,41966,5.4,3.25,94.23
15-Aug,221493,42343,5.1,3.25,90.73
15-Nov,210181,42621,5,3.29,91.3
16-Feb,204681,42807,4.93,3.5,91.57
16-May,221073,43265,4.87,3.5,92.4
16-Aug,229123,43651,4.9,3.5,90.33
16-Nov,221392,43759,4.7,3.55,93.07
